YearsExperience,Salary
9,85442
16,137317
14,124700
9,87852
12,110658
19,156225
12,111881
9,85850
8,79921
3,46279
18,149243
12,107774
16,134224
6,69607
8,78049
4,50296
7,72070
5,59539
11,101526
12,106607
20,166896
8,83904
7,76525
11,99939
2,41602
4,51045
6,66794
5,58969
15,131799
7,73259
20,166605
3,45099
17,141097
15,132739
13,116158
19,159184
5,62487
16,139771
18,148939
8,81899
15,130135
9,88207
19,156385
14,122170
16,137729
10,95362
14,120298
9,90680
18,148548
10,92534
10,96115
15,128119
20,163937
1,32117
12,109912
1,32877
19,159105
9,87197
13,113420
11,104031
9,88048
3,48607
10,95411
6,67108
7,74256
7,73440
20,165452
19,155718
2,39957
5,60121
9,88123
18,150243
7,75994
6,68357
2,40818
19,160469
12,106390
6,66092
11,99912
9,88781
4,50830
1,29410
17,142363
12,109943
17,143201
9,90245
7,72679
11,99725
6,68370
18,153910
16,138160
14,123430
8,83703
12,106096
16,138593
20,165154
18,153085
5,62524
1,29858
9,86232
